Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     16.61     0.00       10     0.00     1.55  PentagonBP::subClosure()
  0.00     16.61     0.00       10     0.00     1.55  PentagonBP::FWT(unsigned int*, int)
  0.00     16.61     0.00       10     0.00     1.65  PentagonBP::closure()
  0.00     16.61     0.00       10     0.00     0.00  std::_Vector_base<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > >::_M_get_Tp_allocator()
  0.00     16.61     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::~new_allocator()
  0.00     16.61     0.00        9     0.00     0.00  std::allocator<std::pair<int, int> >::~allocator()
  0.00     16.61     0.00        9     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl::~_Vector_impl()
  0.00     16.61     0.00        9     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Vector_base()
  0.00     16.61     0.00        9     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector()
  0.00     16.61     0.00        9     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     16.61     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >*, std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > > >::base() const
  0.00     16.61     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::deallocate(std::pair<int, int>*, unsigned long)
  0.00     16.61     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::allocate(unsigned long, void const*)
  0.00     16.61     0.00        7     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> > >::deallocate(std::allocator<std::pair<int, int> >&, std::pair<int, int>*, unsigned long)
  0.00     16.61     0.00        7     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> > >::allocate(std::allocator<std::pair<int, int> >&, unsigned long)
  0.00     16.61     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::difference_type __gnu_cxx::operator-<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_check_len(unsigned long, char const*) const
  0.00     16.61     0.00        7     0.00     0.00  void std::__uninitialized_fill_n<false>::__uninit_fill_n<std::pair<int, int>*, unsigned long, std::pair<int, int> >(std::pair<int, int>*, unsigned long, std::pair<int, int> const&)
  0.00     16.61     0.00        7     0.00     0.00  std::pair<int, int>::pair()
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, unsigned long, std::pair<int, int> const&)
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::begin()
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::insert(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, unsigned long, std::pair<int, int> const&)
  0.00     16.61     0.00        7     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::resize(unsigned long, std::pair<int, int>)
  0.00     16.61     0.00        7     0.00     0.00  void std::uninitialized_fill_n<std::pair<int, int>*, unsigned long, std::pair<int, int> >(std::pair<int, int>*, unsigned long, std::pair<int, int> const&)
  0.00     16.61     0.00        7     0.00     0.00  void std::__uninitialized_fill_n_a<std::pair<int, int>*, unsigned long, std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, unsigned long, std::pair<int, int> const&, std::allocator<std::pair<int, int> >&)
  0.00     16.61     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::new_allocator(__gnu_cxx::new_allocator<std::pair<int, int> > const&)
  0.00     16.61     0.00        6     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> > >::_S_select_on_copy(std::allocator<std::pair<int, int> > const&)
  0.00     16.61     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00     16.61     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::max_size() const
  0.00     16.61     0.00        6     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end() const
